n,e,d
5.06,15.32,0
5.06,15.32,1
5.06,15.32,2
5.06,15.32,3
5.06,15.32,4
5.06,15.32,5
5.06,15.32,6
5.06,15.32,7
5.06,15.32,8
5.06,15.32,9
5.06,15.32,10
5.06,15.32,11
5.06,15.32,12
5.06,15.32,13
5.06,15.32,14
5.06,15.32,15
5.06,15.32,16
5.06,15.32,17
5.06,15.32,18
5.06,15.32,19
5.06,15.32,20
5.06,15.32,21
5.06,15.32,22
5.06,15.32,23
5.06,15.32,24
5.06,15.32,25
5.06,15.32,26
5.06,15.32,27
5.06,15.32,28
5.06,15.32,29
5.06,15.32,30
5.06,15.32,31
5.06,15.32,32
5.06,15.32,33
5.06,15.32,34
5.06,15.32,35
5.06,15.32,36
5.06,15.32,37
5.06,15.32,38
5.06,15.32,39
5.06,15.32,40
5.06,15.32,41
5.06,15.32,42
5.06,15.32,43
5.06,15.32,44
5.06,15.32,45
5.06,15.32,46
5.06,15.32,47
5.06,15.32,48
5.06,15.32,49
5.06,15.32,50
5.06,15.32,51
5.06,15.32,52
5.06,15.32,53
5.06,15.32,54
5.06,15.32,55
5.06,15.32,56
5.06,15.32,57
5.06,15.32,58
5.06,15.32,59
5.06,15.32,60
5.06,15.32,61
5.06,15.32,62
5.06,15.32,63
5.06,15.32,64
5.06,15.32,65
5.06,15.32,66
5.06,15.32,67
5.06,15.32,68
5.06,15.32,69
5.06,15.32,70
5.06,15.32,71
5.06,15.32,72
5.06,15.32,73
5.06,15.32,74
5.06,15.32,75
5.06,15.32,76
5.06,15.32,77
5.06,15.32,78
5.06,15.32,79
5.06,15.32,80
5.06,15.32,81
5.06,15.32,82
5.06,15.32,83
5.06,15.32,84
5.06,15.32,85
5.06,15.32,86
5.06,15.32,87
5.06,15.32,88
5.06,15.32,89
5.06,15.32,90
5.06,15.32,91
5.06,15.32,92
5.06,15.32,93
5.06,15.32,94
5.06,15.32,95
5.06,15.32,96
5.06,15.32,97
5.06,15.32,98
5.06,15.32,99
5.06,15.32,100
5.06,15.32,101
5.06,15.32,102
5.06,15.32,103
5.06,15.32,104
5.06,15.32,105
5.06,15.32,106
5.06,15.32,107
5.06,15.32,108
5.06,15.32,109
5.06,15.32,110
5.06,15.32,111
5.06,15.32,112
5.06,15.32,113
5.06,15.32,114
5.06,15.32,115
5.06,15.32,116
5.06,15.32,117
5.06,15.32,118
5.06,15.32,119
5.06,15.32,120
5.06,15.32,121
5.06,15.32,122
5.06,15.32,123
5.06,15.32,124
5.06,15.32,125
5.06,15.32,126
5.06,15.32,127
5.06,15.32,128
5.06,15.32,129
5.06,15.32,130
5.06,15.32,131
5.06,15.32,132
5.06,15.32,133
5.06,15.32,134
5.06,15.32,135
5.06,15.32,136
5.06,15.32,137
5.06,15.32,138
5.06,15.32,139
5.06,15.32,140
5.06,15.32,141
5.06,15.32,142
5.06,15.32,143
5.06,15.32,144
5.06,15.32,145
5.06,15.32,146
5.06,15.32,147
5.06,15.32,148
5.06,15.32,149
5.06,15.32,150
5.06,15.32,151
5.06,15.32,152
5.06,15.32,153
5.06,15.32,154
5.06,15.32,155
5.06,15.32,156
5.06,15.32,157
5.06,15.32,158
5.06,15.32,159
5.06,15.32,160
5.06,15.32,161
5.06,15.32,162
5.06,15.32,163
5.06,15.32,164
5.06,15.32,165
5.06,15.32,166
5.06,15.32,167
5.06,15.32,168
5.06,15.32,169
5.06,15.32,170
5.06,15.32,171
5.06,15.32,172
5.06,15.32,173
5.06,15.32,174
5.06,15.32,175
5.06,15.32,176
5.06,15.32,177
5.06,15.32,178
5.06,15.32,179
5.06,15.32,180
5.06,15.32,181
5.06,15.32,182
5.06,15.32,183
5.06,15.32,184
5.06,15.32,185
5.06,15.32,186
5.06,15.32,187
5.06,15.32,188
5.06,15.32,189
5.06,15.32,190
5.06,15.32,191
5.06,15.32,192
5.06,15.32,193
5.06,15.32,194
5.06,15.32,195
5.06,15.32,196
5.06,15.32,197
5.06,15.32,198
5.06,15.32,199
5.06,15.32,200
5.06,15.32,201
5.06,15.32,202
5.06,15.32,203
5.06,15.32,204
5.06,15.32,205
5.06,15.32,206
5.06,15.32,207
5.06,15.32,208
5.06,15.32,209
5.06,15.32,210
5.06,15.32,211
5.06,15.32,212
5.06,15.32,213
5.06,15.32,214
5.06,15.32,215
5.06,15.32,216
5.06,15.32,217
5.06,15.32,218
5.06,15.32,219
5.06,15.32,220
5.06,15.32,221
5.06,15.32,222
5.06,15.32,223
5.06,15.32,224
5.06,15.32,225
5.06,15.32,226
5.06,15.32,227
5.06,15.32,228
5.06,15.32,229
5.06,15.32,230
5.06,15.32,231
5.06,15.32,232
5.06,15.32,233
5.06,15.32,234
5.06,15.32,235
5.06,15.32,236
5.06,15.32,237
5.06,15.32,238
5.06,15.32,239
5.06,15.32,240
5.06,15.32,241
5.06,15.32,242
5.06,15.32,243
5.06,15.32,244
5.06,15.32,245
5.06,15.32,246
5.06,15.32,247
5.06,15.32,248
5.06,15.32,249
5.06,15.32,250
5.06,15.32,251
5.06,15.32,252
5.06,15.32,253
5.06,15.32,254
5.06,15.32,255
5.06,15.32,256
5.06,15.32,257
5.06,15.32,258
5.06,15.32,259
5.06,15.32,260
5.06,15.32,261
5.06,15.32,262
5.06,15.32,263
5.06,15.32,264
5.06,15.32,265
5.06,15.32,266
5.06,15.32,267
5.06,15.32,268
5.06,15.32,269
5.06,15.32,270
5.06,15.32,271
5.06,15.32,272
5.06,15.32,273
5.06,15.32,274
5.06,15.32,275
5.06,15.32,276
5.06,15.32,277
5.06,15.32,278
5.06,15.32,279
5.06,15.32,280
5.06,15.32,281
5.06,15.32,282
5.06,15.32,283
5.06,15.32,284
5.06,15.32,285
5.06,15.32,286
5.06,15.32,287
5.06,15.32,288
5.06,15.32,289
5.06,15.32,290
5.06,15.32,291
5.06,15.32,292
5.06,15.32,293
5.06,15.32,294
5.06,15.32,295
5.06,15.32,296
5.06,15.32,297
5.06,15.32,298
5.06,15.32,299
5.06,15.32,300
5.06,15.32,301
5.06,15.32,302
5.06,15.32,303
5.06,15.32,304
5.06,15.32,305
5.06,15.32,306
5.06,15.32,307
5.06,15.32,308
5.06,15.32,309
5.06,15.32,310
5.06,15.32,311
5.06,15.32,312
5.06,15.32,313
5.06,15.32,314
5.06,15.32,315
5.06,15.32,316
5.06,15.32,317
5.06,15.32,318
5.06,15.32,319
5.06,15.32,320
5.06,15.32,321
5.06,15.32,322
5.06,15.32,323
5.06,15.32,324
5.06,15.32,325
5.06,15.32,326
5.06,15.32,327
5.06,15.32,328
5.06,15.32,329
5.06,15.32,330
5.06,15.32,331
5.06,15.32,332
5.06,15.32,333
5.06,15.32,334
5.06,15.32,335
